iter	MultiClass
0	0.6593559913
1	0.4957848627
2	0.4001972091
3	0.3503086553
4	0.3019071199
5	0.2786461129
6	0.2631772688
7	0.2469498138
8	0.2370234212
9	0.2263834772
10	0.2188018284
11	0.2134496356
12	0.2065711458
13	0.2030339754
14	0.1992115277
15	0.1953969839
16	0.1907909963
17	0.1865347546
18	0.1839073551
19	0.1820703196
20	0.1794515725
21	0.1759152161
22	0.1739297259
23	0.1721594763
24	0.1707324351
25	0.1683452022
26	0.166946421
27	0.1653401148
28	0.1645275781
29	0.1635187052
30	0.1626230988
31	0.1602585115
32	0.1592942835
33	0.1585386988
34	0.1576059202
35	0.1562495152
36	0.155077864
37	0.1546376749
38	0.1536143196
39	0.1525014768
40	0.151441216
41	0.1510894924
42	0.1505255654
43	0.1497389858
44	0.1490462542
45	0.1484723068
46	0.1474010187
47	0.1467965689
48	0.1458087302
49	0.1449645835
50	0.1443198139
51	0.1437748541
52	0.1436082456
53	0.1432623688
54	0.1429566178
55	0.1425060104
56	0.1421183476
57	0.1418694472
58	0.1411951762
59	0.1409610399
60	0.1404582613
61	0.1397800469
62	0.1394983906
63	0.139154829
64	0.1388461064
65	0.138701261
66	0.13843494
67	0.1381715439
68	0.1378298988
69	0.1374370703
70	0.1373379447
71	0.1367442201
72	0.1363227249
73	0.1357992658
74	0.1354809907
75	0.1352972909
76	0.1349082922
77	0.134495466
78	0.134353772
79	0.133779615
80	0.1334049041
81	0.1332735221
82	0.1328545829
83	0.1325591439
84	0.132456521
85	0.1319599405
86	0.131605922
87	0.1312925248
88	0.1310360011
89	0.1306092111
90	0.1301922942
91	0.1298949472
92	0.1294496185
93	0.1293802832
94	0.129149023
95	0.1288361744
96	0.1287469205
97	0.1285517095
98	0.1284932216
99	0.1280139056
100	0.1278775178
101	0.1278466506
102	0.1276255019
103	0.1271757559
104	0.1269139076
105	0.1268337931
106	0.1266479819
107	0.1265213057
108	0.1264222595
109	0.1263368989
110	0.126235891
111	0.1260208269
112	0.1257720292
113	0.1255694483
114	0.1253940177
115	0.1252705643
116	0.124956236
117	0.1248197723
118	0.1246331225
119	0.1242965076
120	0.1241685308
121	0.1240238785
122	0.1239467688
123	0.1237714372
124	0.1236333464
125	0.1234709745
126	0.1233687266
127	0.1230121609
128	0.1225643335
129	0.1225018993
130	0.1224065237
131	0.1223320964
132	0.1222788242
133	0.1219558592
134	0.1216259215
135	0.1214638039
136	0.1213632477
137	0.1212101755
138	0.1210162516
139	0.1209608082
140	0.1208952616
141	0.1207791876
142	0.1207154187
143	0.1206675056
144	0.1204801336
145	0.1203666061
146	0.1202178537
147	0.1201052021
148	0.1199897717
149	0.1199412223
150	0.1197943634
151	0.1197442527
152	0.1197242414
153	0.1195386661
154	0.1194742736
155	0.1193358456
156	0.1192714757
157	0.1192387173
158	0.1191716562
159	0.1191349712
160	0.1191148966
161	0.1188875679
162	0.1188258747
163	0.1187638557
164	0.1186772531
165	0.1184216917
166	0.1182198434
167	0.1181496266
168	0.118075891
169	0.1180481877
170	0.1179274993
171	0.117910168
172	0.1176960174
173	0.1176364131
174	0.1174835665
175	0.1174029543
176	0.1172291046
177	0.1171396913
178	0.1170612768
179	0.1169814142
180	0.1169290584
181	0.1166862635
182	0.1166112177
183	0.1165921137
184	0.1165535598
185	0.1164662164
186	0.1164402596
187	0.1163982434
188	0.1163847519
189	0.1162382413
190	0.1161412571
191	0.1160457809
192	0.1159735037
193	0.1158975462
194	0.1158865991
195	0.1157717633
196	0.115679939
197	0.11561335
198	0.1155200382
199	0.1154307512
