iter	Passed	Remaining
0	717	142806
1	1345	133173
2	1983	130262
3	2551	125030
4	3210	125213
5	3760	121577
6	4357	120130
7	5023	120572
8	5627	119423
9	6331	120300
10	6969	119756
11	7642	119737
12	8365	120331
13	8941	118792
14	9501	117190
15	10102	116176
16	10741	115629
17	11610	117391
18	12207	116294
19	12693	114237
20	13385	114096
21	14094	114035
22	14839	114201
23	15412	113027
24	16055	112385
25	16771	112241
26	17347	111154
27	18030	110760
28	18511	109151
29	19077	108105
30	19627	107003
31	20360	106890
32	20934	105941
33	21579	105356
34	22237	104834
35	23044	104982
36	23842	105037
37	24599	104870
38	25263	104292
39	25871	103485
40	26554	102980
41	27090	101911
42	27665	101009
43	28339	100476
44	28986	99842
45	29536	98882
46	30161	98186
47	30679	97150
48	31286	96412
49	31988	95965
50	32651	95394
51	33270	94693
52	33756	93627
53	34277	92675
54	34798	91740
55	35348	90896
56	35932	90147
57	36379	89067
58	37008	88442
59	37554	87626
60	38271	87209
61	38890	86563
62	39476	85846
63	40032	85068
64	40623	84371
65	41102	83450
66	41652	82683
67	42186	81890
68	42780	81221
69	43347	80502
70	43795	79572
71	44389	78915
72	44993	78276
73	45640	77711
74	46278	77130
75	46791	76344
76	47349	75636
77	47902	74925
78	48427	74173
79	49109	73664
80	49708	73028
81	50159	72181
82	51459	72538
83	52372	72323
84	53156	71917
85	53820	71343
86	54547	70849
87	55305	70389
88	55929	69754
89	56588	69164
90	57396	68749
91	58170	68286
92	58927	67798
93	59467	67059
94	60122	66450
95	60686	65743
96	61185	64970
97	61754	64274
98	62263	63520
99	62976	62976
100	63254	62002
101	63503	61013
102	63808	60091
103	64195	59257
104	64475	58335
105	64752	57421
106	65170	56643
107	65472	55772
108	65764	54904
109	66008	54007
110	66326	53180
111	66635	52356
112	67009	51591
113	67533	50946
114	67984	50249
115	68976	49948
116	69674	49427
117	70404	48925
118	71394	48596
119	72030	48020
120	72826	47548
121	73630	47075
122	74443	46603
123	75127	46046
124	76066	45639
125	76738	45068
126	77513	44554
127	78178	43975
128	79136	43555
129	80485	43338
130	81483	42918
131	82136	42312
132	82707	41664
133	83536	41144
134	84376	40625
135	85177	40083
136	86007	39550
137	86752	38975
138	87515	38406
139	88950	38121
140	89839	37592
141	90707	37049
142	91512	36477
143	92244	35872
144	93047	35293
145	93736	34669
146	94414	34040
147	95145	33429
148	96093	32891
149	96687	32229
150	97493	31637
151	98233	31020
152	98830	30359
153	100135	29910
154	100972	29314
155	102032	28778
156	102750	28141
157	103480	27507
158	104018	26822
159	104818	26204
160	105588	25577
161	106534	24989
162	107272	24350
163	107910	23687
164	108654	23047
165	109433	22414
166	110257	21787
167	110859	21116
168	111559	20463
169	112189	19798
170	112862	19140
171	113428	18465
172	114161	17817
173	114882	17166
174	115711	16530
175	116436	15877
176	117117	15218
177	117810	14560
178	118439	13895
179	119038	13226
180	119717	12567
181	120445	11912
182	121097	11249
183	121672	10580
184	122286	9915
185	122941	9253
186	123431	8580
187	124077	7919
188	124655	7255
189	125358	6597
190	125939	5934
191	126543	5272
192	127216	4614
193	127838	3953
194	128326	3290
195	129010	2632
196	129628	1974
197	130142	1314
198	130717	656
199	131277	0
