iter	Passed	Remaining
0	597	118965
1	988	97873
2	1608	105650
3	2027	99361
4	2498	97455
5	2987	96582
6	3456	95299
7	3992	95809
8	4412	93634
9	4845	92060
10	5252	90253
11	5624	88118
12	6294	90548
13	6699	89014
14	7067	87162
15	7466	85863
16	7940	85477
17	8386	84794
18	9003	85766
19	9365	84291
20	10071	85849
21	10521	85131
22	10964	84381
23	11575	84885
24	12007	84050
25	12400	82987
26	12794	81979
27	13155	80809
28	13598	80186
29	14347	81305
30	14740	80360
31	15105	79305
32	15498	78430
33	15970	77972
34	16459	77594
35	16871	76857
36	17261	76042
37	17716	75530
38	18075	74621
39	18570	74283
40	19107	74098
41	19540	73509
42	20234	73879
43	20604	73050
44	21003	72346
45	21456	71831
46	21839	71096
47	22261	70495
48	22670	69861
49	23230	69690
50	23619	69006
51	24036	68412
52	24405	67689
53	24753	66926
54	25120	66226
55	25654	65969
56	26180	65681
57	26571	65055
58	26951	64408
59	27401	63936
60	27745	63222
61	28172	62707
62	28773	62571
63	29148	61941
64	29605	61487
65	30203	61322
66	30646	60835
67	31106	60384
68	31527	59855
69	32104	59622
70	32626	59279
71	33137	58910
72	33614	58480
73	33997	57887
74	34322	57204
75	34726	56658
76	35214	56251
77	35686	55817
78	36088	55275
79	36539	54808
80	36974	54320
81	37402	53822
82	37869	53382
83	38324	52924
84	38792	52484
85	39301	52097
86	40043	52009
87	40641	51726
88	41039	51183
89	41446	50656
90	41887	50172
91	42280	49633
92	42907	49366
93	43334	48866
94	43744	48349
95	44211	47895
96	44619	47379
97	45075	46915
98	45579	46499
99	45985	45985
100	46380	45461
101	46813	44977
102	47341	44583
103	47841	44161
104	48308	43707
105	48834	43305
106	49441	42972
107	49972	42568
108	50736	42357
109	51181	41875
110	51603	41376
111	52046	40893
112	52546	40456
113	53080	40042
114	53500	39543
115	53954	39070
116	54426	38610
117	54790	38074
118	55300	37641
119	55706	37137
120	56075	36611
121	56514	36131
122	56994	35679
123	57325	35135
124	57885	34731
125	58365	34278
126	59022	33926
127	59543	33493
128	60331	33205
129	60891	32787
130	61356	32317
131	61906	31891
132	62399	31434
133	62910	30985
134	63323	30488
135	63759	30004
136	64189	29517
137	64579	29013
138	65083	28561
139	65488	28066
140	65971	27605
141	66386	27115
142	66845	26644
143	67190	26129
144	67789	25713
145	68362	25284
146	68962	24864
147	69343	24363
148	69848	23907
149	70453	23484
150	70987	23035
151	71357	22533
152	71707	22027
153	72159	21554
154	72630	21086
155	73152	20632
156	73571	20150
157	74222	19730
158	74864	19304
159	75547	18886
160	75969	18402
161	76377	17915
162	76776	17427
163	77163	16938
164	77737	16489
165	78125	16001
166	78662	15544
167	79233	15092
168	79830	14643
169	80520	14209
170	80890	13718
171	81304	13235
172	81700	12750
173	82218	12285
174	82721	11817
175	83216	11347
176	83688	10874
177	84015	10383
178	84481	9911
179	84891	9432
180	85389	8963
181	85707	8476
182	86156	8003
183	86571	7527
184	87015	7055
185	87501	6586
186	87919	6112
187	88346	5639
188	88854	5171
189	89193	4694
190	89863	4234
191	90430	3767
192	90872	3295
193	91343	2825
194	91667	2350
195	92201	1881
196	92670	1411
197	93121	940
198	93641	470
199	93981	0
